,Year,Month,Actual Balance,Difference_l,,,,Total pool balance,Total 
0,2000,1,19855924.28,0,,,," $1,616,721,370.04 "," $(1,304,724,597.29)"
1,2000,2,17179555.27,484701.0667,,0.000%,,,
2,2000,3,224631893.2,963108.9344,,0.000%,,,
3,2000,4,276495509.7,4375430.054,,0.000%,,,
4,2000,5,427416375.1,12322583.14,,0.000%,,,
5,2000,6,577540598.1,13904030.52,,0.000%,,,
6,2000,7,674650308.1,16660599.38,,0.000%,,,
7,2000,8,804317004.5,17288881.57,,0.000%,,,
8,2000,9,915967645,15690906.66,,0.000%,,,
9,2000,10,1083515500,17477375.68,,0.000%,,,
10,2000,11,1200673623,19420756.87,,0.000%,,,
11,2000,12,1306419591,16979829.78,,0.000%,,,
12,2001,1,1415509897,19947354.02,,0.000%,,,
13,2001,2,1424715620,13287532.64,,0.000%,,,
14,2001,3,1555845031,13150359.65,,0.000%,,,
15,2001,4,1593228244,10368819.21,,0.000%,,,
16,2001,5,1613216606,4001795.101,,0.000%,,,
17,2001,6,1569489096,2265159.062,,0.000%,,,
18,2001,7,1615345769,-7188739.244,0.445%,0.445%,,,
19,2001,8,1320279744,-3868792.371,0.239%,0.684%,,,
20,2001,9,1616721370,-13749140.37,0.850%,1.534%,,,
21,2001,10,1597080522,-12055975.2,0.746%,2.280%,,,
22,2001,11,1526169411,-10540986.43,0.652%,2.932%,,,
23,2001,12,1548120958,-17071463.69,1.056%,3.988%,,,
24,2002,1,1470844185,-13856784.55,0.857%,4.845%,,,
25,2002,2,1473862238,-16251837.8,1.005%,5.850%,,,
26,2002,3,1472042264,-22775583.23,1.409%,7.259%,,,
27,2002,4,1499048223,-15484644.01,0.958%,8.217%,,,
28,2002,5,1435386477,-21642774.83,1.339%,9.556%,,,
29,2002,6,1364009241,-17716441.53,1.096%,10.651%,,,
30,2002,7,1433579890,-18386141.81,1.137%,11.789%,,,
31,2002,8,1367115215,-24675552.63,1.526%,13.315%,,,
32,2002,9,1356718924,-16791083.17,1.039%,14.353%,,,
33,2002,10,1315553291,-21226216.72,1.313%,15.666%,,,
34,2002,11,1266767549,-18145291.95,1.122%,16.789%,,,
35,2002,12,1302791666,-25041322.05,1.549%,18.338%,,,
36,2003,1,1225492744,-26332278.31,1.629%,19.966%,,,
37,2003,2,1205379982,-15852553.74,0.981%,20.947%,,,
38,2003,3,1223227794,-15338876.98,0.949%,21.896%,,,
39,2003,4,1191073746,-12788649.23,0.791%,22.687%,,,
40,2003,5,1185598171,-21897076.53,1.354%,24.041%,,,
41,2003,6,1178905547,-21804634.75,1.349%,25.390%,,,
42,2003,7,1137592886,-28293739.47,1.750%,27.140%,,,
43,2003,8,1098182218,-22943577.42,1.419%,28.559%,,,
44,2003,9,1114879261,-18779201.3,1.162%,29.721%,,,
45,2003,10,1081803435,-20485978.63,1.267%,30.988%,,,
46,2003,11,998634054.2,-24488954.39,1.515%,32.502%,,,
47,2003,12,1031521290,-16906490.57,1.046%,33.548%,,,
