,Year,Month,Actual Balance,Difference_l,,,Total pool balance,Total 
0,2000,1,19855924,0,,," $1,616,721,370.04 "," $(1,305,660,555.15)"
1,2000,2,17179555,484701.0667,,,,
2,2000,3,224631893,963108.9344,,,,
3,2000,4,276495510,4375430.054,,,,
4,2000,5,427416375,12322583.14,,,,
5,2000,6,577540598,13904030.52,,,,
6,2000,7,674650308,16660599.38,,,,
7,2000,8,804317004,17288881.57,,,,
8,2000,9,915967645,15690906.66,,,,
9,2000,10,1083515500,17477375.68,,,,
10,2000,11,1200673623,19420756.87,,,,
11,2000,12,1306419591,16979829.78,,,,
12,2001,1,1415509897,19947354.02,,,,
13,2001,2,1424715620,13287532.64,,,,
14,2001,3,1555845031,13150359.65,,,,
15,2001,4,1593228244,10368819.21,,,,
16,2001,5,1613216606,4001795.101,,,,
17,2001,6,1569489096,2265159.062,,,,
18,2001,7,1615345769,-7188739.244,0.004446492,,,
19,2001,8,1320279744,-3868792.371,0.002392986,0.002392986,,
20,2001,9,1616721370,-13749140.37,0.008504335,0.010897322,,
21,2001,10,1597080522,-12055975.2,0.007457052,0.018354374,,
22,2001,11,1526169411,-10540986.43,0.006519977,0.024874351,,
23,2001,12,1548120958,-17071463.69,0.010559311,0.035433662,,
24,2002,1,1470844185,-13856784.55,0.008570917,0.044004579,,
25,2002,2,1473862238,-16251837.8,0.010052343,0.054056922,,
26,2002,3,1472042264,-22775583.23,0.014087513,0.068144435,,
27,2002,4,1499048223,-15484644.01,0.009577806,0.077722241,,
28,2002,5,1435386477,-21642774.83,0.01338683,0.091109071,,
29,2002,6,1364009241,-17716441.53,0.010958253,0.102067324,,
30,2002,7,1433579890,-18386141.81,0.011372486,0.11343981,,
31,2002,8,1367115215,-24675552.63,0.015262712,0.128702522,,
32,2002,9,1356718924,-16791083.17,0.010385886,0.139088408,,
33,2002,10,1315553291,-21226216.72,0.013129174,0.152217582,,
34,2002,11,1266767549,-18145291.95,0.011223512,0.163441095,,
35,2002,12,1302791666,-25041322.05,0.015488953,0.178930048,,
36,2003,1,1225492744,-26332278.31,0.016287456,0.195217504,,
37,2003,2,1205379982,-15852553.74,0.009805372,0.205022876,,
38,2003,3,1223227794,-15338876.98,0.009487644,0.21451052,,
39,2003,4,1191073746,-12788649.23,0.007910237,0.222420757,,
40,2003,5,1185598171,-21897076.53,0.013544125,0.235964882,,
