,Year,Month,Actual Balance,Difference_l
0,2000,1,19855924.28,0.0
1,2000,2,17179555.266666666,3805.066666666651
2,2000,3,224631893.20777777,-7789.9833333332945
3,2000,4,276495509.7185185,-1442276.774074074
4,2000,5,427416375.14962965,-946712.0085185183
5,2000,6,577540598.1134568,-2250914.994444445
6,2000,7,674650308.1044033,-2440592.708888889
7,2000,8,804317004.4976954,-2803228.7855555555
8,2000,9,915967644.9840055,-7803596.219561042
9,2000,10,1083515499.6088479,-8954936.790000001
10,2000,11,1200673623.410555,-7682047.43079561
11,2000,12,1306419591.36149,-10856965.147572016
12,2001,1,1415509897.1221008,-10003575.302222222
13,2001,2,1424715619.9736702,-11058187.529077886
14,2001,3,1555845030.6356034,-12539130.162292333
15,2001,4,1593228243.9046814,-12153419.324892547
16,2001,5,1613216606.3394659,-15391743.550660525
17,2001,6,1569489095.7990873,-13531070.972690703
18,2001,7,1615345768.5034373,-18443605.606669508
19,2001,8,1320279744.1864364,-14143272.174115734
20,2001,9,1616721370.0351255,-23054371.02108601
21,2001,10,1597080521.786849,-21481204.002130773
22,2001,11,1526169411.009531,-16289399.071656045
23,2001,12,1548120957.6856089,-22935500.089766804
24,2002,1,1470844184.851621,-20691768.60889583
25,2002,2,1473862237.7636638,-21856017.926948465
26,2002,3,1472042263.8900287,-25308940.918363027
27,2002,4,1499048222.692263,-19744668.781306177
28,2002,5,1435386476.722757,-24184950.46037037
29,2002,6,1364009240.5852509,-21799900.0171229
30,2002,7,1433579889.9080236,-21112868.082445256
31,2002,8,1367115215.1252825,-25911427.00809785
32,2002,9,1356718923.7695754,-18964954.248696845
33,2002,10,1315553291.2482777,-24422253.496393166
34,2002,11,1266767549.4075234,-20880446.116526783
35,2002,12,1302791665.825573,-27141207.012665752
36,2003,1,1225492743.5608728,-28370134.854482546
37,2003,2,1205379982.233712,-19431461.534979425
38,2003,3,1223227794.402855,-19033575.741272673
39,2003,4,1191073745.9729779,-17370786.3904984
40,2003,5,1185598170.9079292,-24509534.92645176
41,2003,6,1178905547.192039,-27047311.692103337
42,2003,7,1137592886.3019311,-30095194.8654808
43,2003,8,1098182218.257229,-26315714.594115227
44,2003,9,1114879260.7961895,-22208910.633139692
45,2003,10,1081803434.6723304,-21315675.77608139
46,2003,11,998634054.1640466,-27891275.37765432
47,2003,12,1031521290.260254,-18526347.82159018
48,2004,1,952446493.6805634,-20027531.428824343
49,2004,2,940901176.9606559,-14461243.392005792
50,2004,3,955831146.8257512,-21628576.78768935
51,2004,4,930606960.9258984,-21589126.9377539
52,2004,5,896359436.3888569,-25843019.216931872
53,2004,6,913677103.3702859,-21556054.185555555
54,2004,7,873439636.564321,-23994336.923950616
55,2004,8,864260200.5263832,-16473827.188811157
56,2004,9,826816552.0076132,-17030900.087736625
57,2004,10,787291520.9598902,-20050210.046982165
58,2004,11,799232498.7232784,-17688580.327722907
59,2004,12,772719854.5008641,-28462300.720617283
60,2005,1,730891580.8216095,-17271846.136790123
61,2005,2,704689826.0520606,-15949383.499594573
62,2005,3,712737481.4165859,-16019824.742511813
63,2005,4,671501926.9551313,-16011017.55315261
64,2005,5,669688870.3436768,-17147491.53111111
65,2005,6,650719444.0837038,-28425645.412592594
66,2005,7,590574643.8833333,-19210704.24777778
67,2005,8,620160682.7644445,-13595941.46962963
68,2005,9,579554587.9444444,-14746838.101481482
69,2005,10,564502668.5329629,-15365087.91888889
70,2005,11,537174781.7975309,-23289504.108395062
71,2005,12,539397840.7269136,-14831958.42580247
72,2006,1,499574777.3239918,-19020387.349218108
73,2006,2,472900077.23242795,-15408946.410329219
74,2006,3,483644839.6234568,-16260733.220132094
75,2006,4,436345771.12209874,-13653225.413909465
76,2006,5,450610942.4513809,-15727618.121426612
77,2006,6,424699638.13827163,-15152147.324074075
78,2006,7,414020718.72,-15418656.234074075
79,2006,8,412027477.7054138,-16398620.707407407
80,2006,9,374937228.9339506,-15781621.35382716
81,2006,10,382493802.3369547,-14346918.126255143
82,2006,11,359341391.58796984,-8940986.301481482
83,2006,12,339291390.5616095,-12117984.535925925
84,2007,1,338378498.6142829,-12703679.28
85,2007,2,320041557.6264355,-10604064.535925927
86,2007,3,323282732.7447842,-10743122.253132822
87,2007,4,309878484.93733037,-9582017.822021712
88,2007,5,309105473.91444445,-6208130.693333333
89,2007,6,280969827.0448148,-8559713.64617284
90,2007,7,290044682.07226336,-8332522.862839506
91,2007,8,281128857.08633745,-10149707.410946501
92,2007,9,246301113.03444445,-9829676.653333334
93,2007,10,267564847.84130317,-9382512.920754459
94,2007,11,251517344.12396434,-4995182.625871056
95,2007,12,245783806.36308643,-5400014.168641975
96,2008,1,233600997.55481482,-7201471.149382716
97,2008,2,230836038.40296295,-7557236.442962963
98,2008,3,223401526.4682716,-10847835.464074073
99,2008,4,214358805.13518518,-7271847.627777778
100,2008,5,211485496.4211111,-8838049.880370371
101,2008,6,206244480.32592592,-8653430.556296296
102,2008,7,205463144.61851853,-8095613.431851852
103,2008,8,182681863.63341564,-8305270.804814815
104,2008,9,196516009.37919068,-3762104.774595336
105,2008,10,182295383.46222222,-10552368.892762452
106,2008,11,169901971.05175585,-2822947.913484225
107,2008,12,173935221.63777778,-3836951.7755555557
108,2009,1,161715089.05024692,-5186784.798888889
109,2009,2,164750676.7477778,-3260470.1900000004
110,2009,3,168418981.2988889,-2697471.7333333334
111,2009,4,155721287.00333333,-3053787.4359259256
112,2009,5,155908894.54777777,-3749556.4903703704
113,2009,6,361721356.62703705,-10628892.35962963
114,2009,7,151385451.59,-2571908.1985185184
115,2009,8,150327168.6937037,-2643623.9296296295
116,2009,9,149316944.0188889,-4602502.881481482
117,2009,10,131521037.53481482,-1929473.47
118,2009,11,132451125.51111111,-3299481.0075308643
119,2009,12,133731507.62333333,-1658166.2988888891
120,2010,1,118921124.25,-2925713.59
121,2010,2,125274035.37333333,-5785733.613333333
122,2010,3,125128926.25,-4246667.84
123,2010,4,117573183.28,-3752639.6255555553
124,2010,5,118490537.87777779,-4370458.122222222
125,2010,6,121550043.39,-2806206.7955555553
126,2010,7,115937140.7,-1795870.2255555557
127,2010,8,117700914.41444445,-4070162.1677777776
128,2010,9,114317524.20444444,-4336586.017777778
129,2010,10,104664779.3862963,-1379022.8566666667
130,2010,11,109344065.23333333,-1929752.1444444444
131,2010,12,104890127.80333333,-2626467.6422222224
132,2011,1,101768481.78555556,-2814700.377777778
133,2011,2,99285303.77444445,-1592035.7377777777
134,2011,3,103813593.7511111,-4965285.154444444
135,2011,4,94179152.62333333,-1801980.2011111113
136,2011,5,99831004.99,-599771.9233333332
137,2011,6,96260079.2,-1115688.1466666667
138,2011,7,98800685.84,-2100176.6144444444
139,2011,8,98361644.05,-1964077.8233333332
140,2011,9,90663080.84703703,-1153513.067037037
141,2011,10,91028505.27222222,-3418121.4566666665
142,2011,11,89857420.32666667,-1386603.5344444443
143,2011,12,85474570.23777778,-988819.1044444444
144,2012,1,87931286.16,-1956796.0577777778
145,2012,2,84509057.01666667,-1893922.3533333333
146,2012,3,86038104.87333333,-2745419.376666667
147,2012,4,83477694.45333333,-1679791.4966666666
