,Year,Month,Actual Balance,Difference_l
0,2000,1,19855924.28,0.0
1,2000,2,10562138.466666667,484701.0666666666
2,2000,3,14995180.63,436750.8833333335
3,2000,4,15782528.040740741,533205.674074074
4,2000,5,15887307.358148148,290251.65074074076
5,2000,6,17265004.73049383,357615.53012345673
6,2000,7,17091132.99983539,144423.2297119342
7,2000,8,18689897.22794239,156511.31329218106
8,2000,9,17145676.81138546,-25381.487544581687
9,2000,10,16284290.634636488,-636298.2145404663
10,2000,11,16107879.46866941,3961.8983676268545
11,2000,12,16421133.341175126,8973.819227251925
12,2001,1,14381744.86608139,-39752.119414723384
13,2001,2,14127698.84,-25106.744531321405
14,2001,3,18122760.937777776,129989.75209876541
15,2001,4,16941580.992222223,-9327.645555555577
16,2001,5,19146803.705925927,-5356.365925925846
17,2001,6,15107430.586666666,-1468630.474197531
18,2001,7,16718714.47962963,-61279.56629629625
19,2001,8,13858120.383333333,-74103.06666666674
20,2001,9,16372062.31,-218453.7029629629
21,2001,10,16566411.39,-79390.92000000003
22,2001,11,16705870.873333333,-29260.153333333306
23,2001,12,13640086.126666667,-36450.97666666668
24,2002,1,16079184.620000001,-54558.90666666666
25,2002,2,14388320.120000001,-137517.89999999997
26,2002,3,14600536.21,-494334.7966666667
27,2002,4,15754748.46,-20330.52999999997
28,2002,5,13388660.67,-24315.090000000033
29,2002,6,13412906.69,-400495.68
30,2002,7,15804157.67,-42065.62
31,2002,8,11126233.47,-274094.2666666666
32,2002,9,14066405.25,-13191.63
33,2002,10,14011593.5,-21449.240000000013
34,2002,11,12826534.97,-199807.72999999998
35,2002,12,11358310.94,-2437012.73
36,2003,1,9392743.34,-122856.96
37,2003,2,11544834.24,-15959.540000000019
38,2003,3,11082688.65,-20230.689999999988
39,2003,4,8435099.963333333,-7859.786666666653
40,2003,5,10502900.65,-158704.4133333333
41,2003,6,10483019.446666667,-143659.50333333344
42,2003,7,10709102.53,-75809.78333333333
43,2003,8,9648239.633333333,-181019.1666666667
44,2003,9,8811739.166666666,-184145.73333333334
45,2003,10,8845690.6,-411200.26666666666
46,2003,11,8056279.2,-370798.7
47,2003,12,8771708.5,-287241.0
48,2004,1,8138428.9,-41700.8
49,2004,2,8079642.1,-14563.200000000004
50,2004,3,8824763.6,-24108.833333333343
51,2004,4,8200439.8,-136465.46666666662
