EffectiveDt,EffectiveDt,TransactionBalanceAmt,VoluntaryPrepay
2000,1,19895924.28,0.0
2000,2,618588.5999999997,-226230.2
2000,3,226844025.33,-964229.25
2000,4,276913210.05,-3654832.9
2000,5,430774028.47,-2927189.94
2000,6,584454880.23,-4313955.04
2000,7,680808877.02,-8066888.14
2000,8,812723406.14,-6823492.15
2000,9,926076823.54,-14446844.28
2000,10,1087073871.97,-14586384.4
2000,11,1210533763.2,-15733629.45
2000,12,1324337437.11,-15000593.6
2001,1,1436642476.06,-19502941.58
2001,2,1457683053.2,-26825465.51
2001,3,1598933189.68,-21251980.97
2001,4,1637608077.25,-23970188.94
2001,5,1677940927.63,-20076275.22
2001,6,1633553766.83,-21659677.31
2001,7,1706042784.31,-27743458.11
2001,8,1385503687.67,-24892750.05
2001,9,1702132871.02,-42143709.47
2001,10,1703980613.48,-32228459.83
2001,11,1628997033.47,-26305935.79
2001,12,1660690170.31,-25777785.38
2002,1,1580952059.28,-27578525.6
2002,2,1584068023.7,-29132576.21
2002,3,1586399843.56,-31992842.49
2002,4,1627071564.42,-22551348.48
2002,5,1554004100.66,-26534270.21
2002,6,1483929763.29,-22489467.78
2002,7,1554215544.75,-24206835.26
2002,8,1478240388.33,-30874187.01
2002,9,1476777052.77,-20837322.0
2002,10,1426548375.61,-26114451.46
2002,11,1362259611.09,-37190369.14
2002,12,1416861884.07,-32821059.34
2003,1,1337773935.41,-31712591.98
2003,2,1311526057.9,-20432543.8
2003,3,1338524247.99,-22464062.42
2003,4,1300482917.97,-19714628.4
2003,5,1289164016.28,-27425418.95
2003,6,1294361581.31,-34909150.64
2003,7,1247003799.37,-32198392.95
2003,8,1200803668.4,-28862386.41
2003,9,1227726981.06,-23046957.96
2003,10,1192055299.55,-23186238.93
2003,11,1097369895.83,-30226835.17
2003,12,1131558193.06,-22094458.89
2004,1,1046876503.55,-20873378.16
2004,2,1027833370.21,-15690561.3
2004,3,1052984041.08,-20462295.77
2004,4,1021446015.75,-20443656.93
2004,5,969460336.63,-34139001.82
2004,6,999997329.36,-20088114.57
2004,7,958629014.43,-23791970.61
2004,8,952993491.98,-17313174.74
2004,9,902850884.23,-20049103.01
2004,10,863501960.1,-22855385.15
2004,11,880997581.58,-18560667.79
2004,12,846805311.82,-32283955.29
2005,1,809835954.14,-16602019.57
2005,2,776195204.27,-17156587.86
2005,3,793219017.37,-16641352.36
2005,4,748233352.94,-17454251.45
2005,5,732497972.29,-18844864.11
2005,6,724470738.4,-27941089.75
2005,7,657479874.42,-21532206.1
2005,8,685546328.58,-15068129.02
2005,9,648824785.76,-17514865.82
2005,10,626979188.24,-17314806.96
2005,11,597822053.25,-24528917.45
2005,12,597120757.1,-16480464.63
2006,1,562215740.3,-21298623.01
2006,2,529836657.55,-17233478.45
2006,3,539960785.18,-19852127.12
2006,4,489218587.6,-15379856.5
2006,5,502446486.89,-17871348.78
2006,6,475522283.21,-16896805.5
2006,7,463293376.91,-15453431.41
2006,8,462934056.36,-13177785.73
2006,9,422669763.66,-15045366.26
2006,10,430067375.52,-12088487.11
2006,11,403406948.21,-10736265.33
2006,12,380971119.86,-11312809.95
2007,1,385822309.37,-11812813.48
2007,2,365880303.2,-10822317.9
2007,3,364934343.64,-8502553.9
2007,4,353530578.47,-10082536.73
2007,5,348563053.66,-5274730.85
2007,6,313996874.43,-9256936.4
2007,7,325978364.3,-7380799.4
2007,8,319222973.45,-10581768.15
2007,9,279603471.35,-10202220.39
2007,10,303455405.63,-7441485.39
2007,11,280042679.98,-4895166.4
