,Year,Month, Actual Balance , Difference ,,,,Total Pool Balance,Total Prepay Amt
0,2000,1," $19,855,924.28 ", $-   ,0.000%,,," $1,616,721,370.04 "," $(2,089,301,916.88)"
1,2000,2," $17,179,555.27 "," $(15,336.54)",0.001%,0.001%,,,
2,2000,3," $224,631,893.21 "," $(7,639.98)",0.000%,0.001%,,,
3,2000,4," $276,495,509.72 "," $(1,193,802.95)",0.074%,0.075%,,,
4,2000,5," $427,416,375.15 "," $(444,265.02)",0.027%,0.103%,,,
5,2000,6," $577,540,598.11 "," $(2,033,976.39)",0.126%,0.229%,,,
6,2000,7," $674,650,308.10 "," $(2,526,248.35)",0.156%,0.385%,,,
7,2000,8," $804,317,004.50 "," $(2,326,132.35)",0.144%,0.529%,,,
8,2000,9," $915,967,644.98 "," $(7,276,797.61)",0.450%,0.979%,,,
9,2000,10," $1,083,515,499.61 "," $(7,304,142.80)",0.452%,1.431%,,,
10,2000,11," $1,200,673,623.41 "," $(8,477,955.29)",0.524%,1.955%,,,
11,2000,12," $1,306,419,591.36 "," $(10,275,930.99)",0.636%,2.591%,,,
12,2001,1," $1,415,509,897.12 "," $(11,202,992.73)",0.693%,3.284%,,,
13,2001,2," $1,424,715,619.97 "," $(13,283,273.11)",0.822%,4.105%,,,
14,2001,3," $1,555,845,030.64 "," $(12,760,843.29)",0.789%,4.894%,,,
15,2001,4," $1,593,228,243.90 "," $(12,825,583.35)",0.793%,5.688%,,,
16,2001,5," $1,613,216,606.34 "," $(14,761,897.30)",0.913%,6.601%,,,
17,2001,6," $1,569,489,095.80 "," $(15,507,104.27)",0.959%,7.560%,,,
18,2001,7," $1,615,345,768.50 "," $(19,297,094.79)",1.194%,8.754%,,,
19,2001,8," $1,320,279,744.19 "," $(15,628,310.99)",0.967%,9.720%,,,
20,2001,9," $1,616,721,370.04 "," $(26,568,650.51)",1.643%,11.364%,,,
21,2001,10," $1,597,080,521.79 "," $(23,850,508.65)",1.475%,12.839%,,,
22,2001,11," $1,526,169,411.01 "," $(18,056,397.61)",1.117%,13.956%,,,
23,2001,12," $1,548,120,957.69 "," $(22,400,207.17)",1.386%,15.341%,,,
24,2002,1," $1,470,844,184.85 "," $(22,899,161.04)",1.416%,16.758%,,,
25,2002,2," $1,473,862,237.76 "," $(25,000,752.28)",1.546%,18.304%,,,
26,2002,3," $1,472,042,263.89 "," $(27,270,037.21)",1.687%,19.991%,,,
27,2002,4," $1,499,048,222.69 "," $(21,817,373.50)",1.349%,21.340%,,,
28,2002,5," $1,435,386,476.72 "," $(25,887,562.38)",1.601%,22.941%,,,
29,2002,6," $1,364,009,240.59 "," $(23,922,968.85)",1.480%,24.421%,,,
30,2002,7," $1,433,579,889.91 "," $(24,971,619.06)",1.545%,25.966%,,,
31,2002,8," $1,367,115,215.13 "," $(28,374,147.07)",1.755%,27.721%,,,
32,2002,9," $1,356,718,923.77 "," $(23,727,767.09)",1.468%,29.188%,,,
33,2002,10," $1,315,553,291.25 "," $(27,707,675.27)",1.714%,30.902%,,,
34,2002,11," $1,266,767,549.41 "," $(20,672,612.08)",1.279%,32.181%,,,
35,2002,12," $1,302,791,665.83 "," $(28,704,005.46)",1.775%,33.956%,,,
36,2003,1," $1,225,492,743.56 "," $(29,066,414.80)",1.798%,35.754%,,,
37,2003,2," $1,205,379,982.23 "," $(21,319,090.37)",1.319%,37.073%,,,
38,2003,3," $1,223,227,794.40 "," $(21,138,791.44)",1.308%,38.380%,,,
39,2003,4," $1,191,073,745.97 "," $(19,388,817.10)",1.199%,39.580%,,,
40,2003,5," $1,185,598,170.91 "," $(26,543,309.57)",1.642%,41.222%,,,
41,2003,6," $1,178,905,547.19 "," $(30,334,902.09)",1.876%,43.098%,,,
42,2003,7," $1,137,592,886.30 "," $(35,357,365.31)",2.187%,45.285%,,,
43,2003,8," $1,098,182,218.26 "," $(32,555,097.78)",2.014%,47.298%,,,
44,2003,9," $1,114,879,260.80 "," $(28,291,764.91)",1.750%,49.048%,,,
45,2003,10," $1,081,803,434.67 "," $(26,050,024.74)",1.611%,50.660%,,,
46,2003,11," $998,634,054.16 "," $(33,219,797.13)",2.055%,52.714%,,,
47,2003,12," $1,031,521,290.26 "," $(21,528,771.42)",1.332%,54.046%,,,
48,2004,1," $952,446,493.68 "," $(22,278,116.58)",1.378%,55.424%,,,
49,2004,2," $940,901,176.96 "," $(15,010,712.05)",0.928%,56.353%,,,
50,2004,3," $955,831,146.83 "," $(23,720,200.40)",1.467%,57.820%,,,
51,2004,4," $930,606,960.93 "," $(22,339,796.93)",1.382%,59.202%,,,
52,2004,5," $896,359,436.39 "," $(26,974,065.77)",1.668%,60.870%,,,
53,2004,6," $913,677,103.37 "," $(22,009,472.84)",1.361%,62.231%,,,
54,2004,7," $873,439,636.56 "," $(26,543,536.48)",1.642%,63.873%,,,
55,2004,8," $864,260,200.53 "," $(17,066,104.35)",1.056%,64.929%,,,
