,Year,Month, Actual Balance , Difference_l ,, Cumulative % Prepay , Pool total ,prepayment total
0,2000,1," 16,232,271.50 ", -   ,0.000%,," 1,153,698,494.75 "," (1,242,102,454.48)"
1,2000,2," 14,798,941.03 "," (4,810.87)",0.000%,0.000%,,
2,2000,3," 185,671,623.34 "," (5,259.93)",0.000%,0.001%,,
3,2000,4," 210,031,879.48 "," (998,111.27)",0.087%,0.087%,,
4,2000,5," 325,264,996.47 "," (228,261.27)",0.020%,0.107%,,
5,2000,6," 435,151,946.82 "," (1,570,490.20)",0.136%,0.243%,,
6,2000,7," 509,231,861.26 "," (1,181,914.01)",0.102%,0.346%,,
7,2000,8," 598,035,949.44 "," (1,664,331.56)",0.144%,0.490%,,
8,2000,9," 668,377,726.76 "," (5,466,754.26)",0.474%,0.964%,,
9,2000,10," 799,953,680.35 "," (6,258,625.11)",0.542%,1.506%,,
10,2000,11," 881,797,503.22 "," (5,208,154.55)",0.451%,1.958%,,
11,2000,12," 960,563,310.77 "," (7,617,287.25)",0.660%,2.618%,,
12,2001,1," 1,030,240,689.97 "," (7,044,808.88)",0.611%,3.229%,,
13,2001,2," 1,028,992,196.65 "," (7,981,481.14)",0.692%,3.920%,,
14,2001,3," 1,128,568,360.61 "," (9,189,769.11)",0.797%,4.717%,,
15,2001,4," 1,135,261,601.01 "," (8,905,665.72)",0.772%,5.489%,,
16,2001,5," 1,148,072,278.45 "," (10,932,037.59)",0.948%,6.436%,,
17,2001,6," 1,118,999,545.89 "," (8,967,405.99)",0.777%,7.214%,,
18,2001,7," 1,153,698,494.75 "," (13,066,401.98)",1.133%,8.346%,,
19,2001,8," 933,130,183.21 "," (6,831,727.27)",0.592%,8.938%,,
20,2001,9," 1,139,936,104.43 "," (16,115,883.20)",1.397%,10.335%,,
21,2001,10," 1,105,332,602.09 "," (14,953,287.41)",1.296%,11.632%,,
22,2001,11," 1,077,777,946.31 "," (10,992,994.85)",0.953%,12.584%,,
23,2001,12," 1,092,916,436.60 "," (17,282,396.14)",1.498%,14.082%,,
24,2002,1," 1,027,757,385.60 "," (14,327,100.96)",1.242%,15.324%,,
25,2002,2," 1,023,934,776.10 "," (13,555,480.06)",1.175%,16.499%,,
26,2002,3," 1,026,766,331.99 "," (16,941,115.91)",1.468%,17.968%,,
27,2002,4," 1,039,513,569.76 "," (14,532,886.77)",1.260%,19.227%,,
28,2002,5," 991,418,250.04 "," (17,496,548.36)",1.517%,20.744%,,
