,EffectiveDt,TransacionCd,GeneralLedgerCd,TransactionAmt,TransactionBalanceAmt,DESCRIPTION_x,DESCRIPTION_y
0,2001-03-12,368,1010,4725.0,0.0,Guaranty Fixed Fee,CASH WITH TREASURY
1,2001-03-31,398,1010,2604.0,0.0,Treasury Borrowings on Cash Insufficiency,CASH WITH TREASURY
2,2001-03-31,298,1010,-2604.0,0.0,Payment of Subsidy Due Treasury,CASH WITH TREASURY
3,2001-05-18,360,1010,79.83,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
4,2001-06-27,360,1010,38.84,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
5,2001-07-10,360,1010,71.02,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
6,2001-07-18,360,1010,22.1,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
7,2001-08-09,360,1010,71.02,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
8,2001-09-08,360,1010,126.97,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
9,2001-09-08,360,1010,2.15,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
10,2001-11-09,360,1010,70.85,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
11,2001-11-15,360,1010,2.15,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
12,2001-12-18,360,1010,77.29,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
13,2002-01-23,360,1010,62.26,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
14,2002-02-08,360,1010,72.88,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
15,2002-02-15,360,1010,40.7,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
16,2002-03-26,360,1010,17.73,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
17,2002-04-09,360,1010,81.11,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
18,2002-05-09,360,1010,68.3,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
19,2002-05-15,360,1010,46.9,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
20,2002-06-06,360,1010,63.76,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
21,2002-09-04,360,1010,70.03,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
22,2002-09-05,360,1010,61.48,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
23,2002-09-07,360,1010,48.67,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
24,2002-10-18,360,1010,80.19,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
25,2002-10-29,360,1010,11.88,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
26,2002-10-29,360,1010,11.82,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
27,2002-12-27,360,1010,14.25,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
28,2003-01-08,360,1010,67.52,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
29,2003-01-09,360,1010,52.58,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
30,2003-01-09,360,1010,59.01,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
31,2003-02-27,360,1010,13.61,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
32,2003-02-27,360,1010,13.53,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
33,2003-03-25,360,1010,16.78,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
34,2003-03-26,360,1010,121.67,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
35,2003-04-24,360,1010,64.89,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
36,2003-05-28,360,1010,15.63,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
37,2003-06-03,360,1010,62.7,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
38,2003-06-26,360,1010,12.31,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
39,2003-07-11,360,1010,70.94,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
40,2003-07-15,360,1010,41.68,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
41,2003-07-23,360,1010,14.13,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
42,2003-08-08,360,1010,72.69,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
43,2003-09-09,360,1010,66.39,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
44,2003-11-11,360,1010,68.35,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
45,2003-11-15,360,1010,53.77,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
46,2004-01-09,360,1010,76.32,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
47,2004-01-15,360,1010,57.71,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
48,2004-03-09,360,1010,84.3,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
49,2004-04-09,360,1010,41.12,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
50,2004-05-11,360,1010,63.51,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
51,2004-06-10,360,1010,65.45,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
52,2004-06-15,360,1010,44.92,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
53,2004-08-07,360,1010,75.31,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
54,2004-08-15,360,1010,8.14,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
55,2004-09-10,360,1010,56.99,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
56,2004-09-15,360,1010,56.85,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
57,2004-11-09,360,1010,72.93,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
58,2004-12-08,360,1010,54.65,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
59,2005-01-08,360,1010,60.57,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
60,2005-01-15,360,1010,58.44,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
61,2005-02-09,360,1010,56.31,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
62,2005-03-09,360,1010,64.21,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
63,2005-04-09,360,1010,58.11,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
64,2005-05-07,360,1010,58.0,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
65,2005-06-09,360,1010,55.89,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
66,2005-07-12,360,1010,51.78,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
67,2005-08-09,360,1010,21.85,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
68,2005-08-15,360,1010,51.65,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
69,2005-10-07,360,1010,71.52,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
70,2005-10-15,360,1010,53.61,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
71,2005-11-05,360,1010,53.42,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
72,2005-12-08,360,1010,57.24,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
73,2006-01-07,360,1010,66.99,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
74,2006-02-09,360,1010,57.1,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
75,2006-03-09,360,1010,56.99,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
76,2006-04-07,360,1010,62.78,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
77,2006-05-06,360,1010,48.99,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
78,2006-06-07,360,1010,64.48,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
79,2006-07-08,360,1010,64.43,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
80,2006-09-09,360,1010,9.76,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
81,2006-09-09,360,1010,103.41,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
82,2006-10-07,360,1010,68.05,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
83,2006-11-08,360,1010,58.33,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
84,2006-12-06,360,1010,62.12,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
85,2007-01-09,360,1010,54.3,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
86,2007-02-08,360,1010,56.12,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
87,2007-03-07,360,1010,63.75,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
88,2007-04-07,360,1010,54.05,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
89,2007-05-10,360,1010,53.93,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
90,2007-07-11,360,1010,124.93,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
91,2007-08-09,360,1010,55.64,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
92,2007-10-10,360,1010,118.72,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
93,2007-11-08,360,1010,55.38,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
94,2007-12-07,360,1010,68.61,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
95,2008-01-09,360,1010,53.36,0.0,Annual Guaranty Fees Collection,CASH WITH TREASURY
