ObservationNmb,MaturityMthsQty,"Years Till Maturity"
1469637,47,4
1469646,12,1
1469648,60,5
1469651,60,5
1469656,60,5
1469659,32,3
1480820,60,5
1480830,60,5
1480842,10,1
1480853,120,10
1480856,81,7
1480861,12,1
1480862,12,1
1480867,60,5
1480875,45,4
1480895,60,5
1480897,15,1
1480899,12,1
1480904,60,5
1480930,84,7
1480963,60,5
1480996,48,4
1481057,19,2
1481062,63,5
1481080,73,6
1481099,12,1
1481103,60,5
1481105,60,5
1481111,0,0
1481112,29,2
1481115,10,1
1481128,17,1
1481201,36,3
1481242,35,3
1481243,83,7
1481245,60,5
1481267,48,4
1481268,48,4
1481269,5,0
1481274,12,1
1481315,12,1
1481339,43,4
1481352,84,7
1481426,36,3
1481430,24,2
1481454,36,3
1481468,60,5
1481502,120,10
1481537,36,3
1481556,60,5
1481565,60,5
1481567,59,5
1481569,60,5
1481574,14,1
1481614,48,4
1481628,83,7
1481653,82,7
1481732,60,5
1481737,5,0
1481742,84,7
1481749,60,5
1481752,60,5
1481797,60,5
1481812,73,6
1481876,83,7
1481886,25,2
1481897,120,10
1481900,83,7
1481912,84,7
1481952,60,5
1481955,60,5
1481962,83,7
1481970,98,8
1481983,12,1
1482015,82,7
1482023,60,5
1482045,3,0
1482047,12,1
1482060,12,1
1482078,12,1
1482088,60,5
1482132,36,3
1482149,2,0
1482160,15,1
1482162,35,3
1482166,5,0
1482197,84,7
1482198,11,1
1482201,48,4
1482224,161,13
1482256,12,1
1482269,12,1
1482272,48,4
1482288,53,4
1482325,83,7
1482331,36,3
1482347,48,4
1482390,92,8
1482396,80,7
1482420,83,7
1482426,35,3
1482436,60,5
1482442,12,1
1482474,20,2
1482487,12,1
1482489,60,5
1482514,60,5
1482565,32,3
1482603,44,4
1482621,6,1
1482624,48,4
1482628,60,5
1482636,24,2
1482637,36,3
1482644,30,3
1482750,13,1
1482767,84,7
1482771,12,1
1482775,61,5
1482787,82,7
1482793,83,7
1482795,12,1
1482798,82,7
1482839,60,5
1482841,12,1
1482879,12,1
1482921,82,7
1482958,12,1
1482959,16,1
1482973,60,5
1482977,133,11
1482983,24,2
1483002,10,1
1483012,15,1
1483016,60,5
1483061,12,1
1483085,24,2
1483106,60,5
1483133,60,5
1483157,2,0
1483190,23,2
1483231,12,1
1483249,83,7
1483277,83,7
1483281,36,3
1483351,7,1
1483386,8,1
1483387,82,7
1483394,48,4
1483408,83,7
1483415,27,2
1483427,13,1
1483433,74,6
1483444,12,1
1483446,24,2
1483448,24,2
1483498,22,2
1483501,60,5
1483522,24,2
1483526,60,5
1483531,84,7
1483560,60,5
1483579,12,1
1483596,83,7
1483691,12,1
1483694,84,7
1483712,60,5
1483786,83,7
1483788,48,4
1483796,12,1
1483819,60,5
1483827,12,1
1483836,48,4
1483839,13,1
1483849,48,4
1483924,5,0
1483943,11,1
1484019,26,2
1484020,3,0
1484024,24,2
1484025,60,5
1484032,82,7
1484041,60,5
1484051,84,7
1484059,84,7
1484060,36,3
1484063,17,1
1484064,56,5
1484070,8,1
1484095,82,7
1484104,84,7
