"GENERALLEDGERCD","DESCRIPTION","CREATUSERID","CREATDT"
"5110","BANK SERVICE CHARGES ON LOANS","",""
"5112","BANK SERV CHG LNS GNMA/FALT","",""
"5113","BANK SERV CHG LNS GNMA/FAFT","",""
"5120","MISC LENDING EXPENSES","",""
"5121","COLLECTION AGENCY FEES","",""
"5126","SEC 8(A) PROGRAM EXPENSES","",""
"5127","CONTRACT COSTS","",""
"5128","LOSSES ON ADV PAYS TO SUBCONTR","",""
"5129","BUSINESS DEVELOP EXP","",""
"5130","EXPENSES INCURRED ASSETS ACQ","",""
"5133","EXP INC ON EXC PROPERTY","",""
"5139","EXC SUB RTN TREAS BY FINAN FND","",""
"5140","LOSSES DISPOSITION ASSETS ACQ","",""
"5145","LOSSES ON NON-BANK LENDER TRN","",""
"5146","LOSS ON DISP OF SBIC PREFRD STCK","",""
"5148","PREPAID DISCOUNT-DISASTER HOME LOAN","",""
"5150","PART CERTIFICATES SALES COST","",""
"5152","EXPENSES ON SALE OF LOANS FFB","",""
"5155","PREMIUM ON PAYOFF   503 DEBEN","",""
"5161","PROV LOSS LOANS & DEB REC","",""
"5164","LOSSES ON GUARANTY FEES","",""
"5165","LOSSES ON MISC RECEIVABLES","",""
"5167","PRV UNCOL ACCR INT P","",""
"5170","LOSS ON SALE OF LOAN","",""
"5210","ADMINISTRATIVE EXPENSES","",""
"5211","EXPENSE FOR COST OF CREDIT REPORTS","",""
"6000","LOAN APPROVALS SBA SHARE","",""
"6002","LOAN APPROVALS GROSS","",""
"6003","LOAN APPROVALS BKS SHARE","",""
"6004","OVERFLOW #1 FROM ACCOUNT 6000","",""
"6005","OVERFLOW #1 FROM ACCOUNT 6002","",""
"6020","ADVICES OF ALLOTMENTS ISSUED","",""
"6021","UNCOMMITTED ALLOTMENTS","",""
"6022","COMMITMENTS MADE ALLOT PERIOD","",""
"6023","BDE DISBURSEMENTS","",""
"6030","GUARANTY LOANS - SBA COMMITMENTS","",""
"6031","GUARANTY LOANS GROSS","",""
"6032","GUARANTY LOANS BKS SHARE","",""
"6034","SBIC PARTICIPATING SECURITIES GROSS GUAR","",""
"6036","SBIC GUARANTY PRINCIPLE (PRIVATE SECT)","",""
"6037","DEB GUAR (303) SBA SERV","",""
