,IncBalanceOccurence,NumberOccurences
0,0.0,10011
1,1.0,7398
2,2.0,3844
3,3.0,2447
4,4.0,1694
5,5.0,1174
6,6.0,873
7,7.0,633
8,8.0,443
9,9.0,365
10,10.0,285
11,11.0,251
12,12.0,179
13,13.0,142
14,14.0,127
15,15.0,96
16,16.0,93
17,17.0,81
18,18.0,68
19,20.0,58
20,19.0,53
21,22.0,34
22,23.0,31
23,25.0,24
24,21.0,23
25,26.0,22
26,24.0,20
27,28.0,19
28,27.0,15
29,29.0,10
30,30.0,10
31,31.0,9
32,33.0,9
33,36.0,7
34,32.0,6
35,34.0,6
36,42.0,5
37,35.0,4
38,37.0,4
39,39.0,4
40,41.0,3
41,44.0,2
42,59.0,2
43,38.0,2
44,47.0,1
45,48.0,1
46,52.0,1
47,40.0,1
48,75.0,1
