,IncBalanceOccurence,NumberOccurences
0,0.0,3532
1,1.0,1768
2,2.0,1228
3,3.0,843
4,4.0,599
5,5.0,371
6,6.0,300
7,7.0,186
8,8.0,132
9,9.0,118
10,10.0,83
11,11.0,41
12,12.0,38
13,13.0,21
14,14.0,13
15,15.0,9
16,17.0,9
17,16.0,5
18,19.0,5
19,18.0,4
20,20.0,3
21,21.0,2
22,22.0,2
23,24.0,2
24,29.0,2
25,23.0,1
26,31.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,3403
1,1.0,1687
2,2.0,1189
3,3.0,790
4,4.0,521
5,5.0,345
6,6.0,245
7,7.0,182
8,8.0,103
9,9.0,68
10,10.0,61
11,11.0,39
12,12.0,31
13,13.0,27
14,14.0,15
15,16.0,13
16,15.0,11
17,17.0,5
18,21.0,5
19,27.0,4
20,23.0,3
21,18.0,2
22,22.0,2
23,24.0,2
24,31.0,2
25,40.0,2
26,19.0,1
27,20.0,1
28,35.0,1
29,42.0,1
30,44.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,3462
1,1.0,1808
2,2.0,1127
3,3.0,833
4,4.0,533
5,5.0,385
6,6.0,274
7,7.0,207
8,9.0,111
9,8.0,108
10,10.0,76
11,11.0,40
12,12.0,34
13,13.0,19
14,14.0,15
15,17.0,14
16,15.0,11
17,18.0,9
18,20.0,9
19,19.0,8
20,24.0,8
21,16.0,7
22,26.0,6
23,27.0,6
24,32.0,5
25,21.0,4
26,38.0,3
27,33.0,3
28,30.0,3
29,29.0,3
30,25.0,3
31,23.0,3
32,35.0,2
33,39.0,2
34,28.0,1
35,34.0,1
36,22.0,1
37,41.0,1
38,44.0,1
39,49.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,3605
1,1.0,1829
2,2.0,1179
3,3.0,780
4,4.0,542
5,5.0,401
6,6.0,294
7,7.0,187
8,8.0,129
9,9.0,87
10,10.0,52
11,12.0,46
12,11.0,39
13,14.0,22
14,15.0,17
15,13.0,14
16,16.0,9
17,17.0,7
18,19.0,6
19,22.0,4
20,18.0,3
21,20.0,2
22,36.0,2
23,21.0,1
24,23.0,1
25,24.0,1
26,25.0,1
27,26.0,1
28,28.0,1
29,30.0,1
30,32.0,1
31,33.0,1
32,35.0,1
33,41.0,1
34,51.0,1
35,77.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,4816
1,1.0,3214
2,2.0,1876
3,3.0,1277
4,4.0,880
5,5.0,611
6,6.0,405
7,7.0,293
8,8.0,182
9,9.0,128
10,10.0,89
11,11.0,61
12,12.0,39
13,13.0,36
14,14.0,24
15,15.0,19
16,16.0,19
17,19.0,10
18,17.0,9
19,18.0,8
20,22.0,6
21,20.0,5
22,21.0,5
23,23.0,5
24,26.0,4
25,27.0,4
26,25.0,2
27,38.0,2
28,24.0,1
29,31.0,1
30,34.0,1
31,35.0,1
32,36.0,1
33,45.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,10011
1,1.0,7398
2,2.0,3844
3,3.0,2447
4,4.0,1694
5,5.0,1174
6,6.0,873
7,7.0,633
8,8.0,443
9,9.0,365
10,10.0,285
11,11.0,251
12,12.0,179
13,13.0,142
14,14.0,127
15,15.0,96
16,16.0,93
17,17.0,81
18,18.0,68
19,20.0,58
20,19.0,53
21,22.0,34
22,23.0,31
23,25.0,24
24,21.0,23
25,26.0,22
26,24.0,20
27,28.0,19
28,27.0,15
29,29.0,10
30,30.0,10
31,31.0,9
32,33.0,9
33,36.0,7
34,32.0,6
35,34.0,6
36,42.0,5
37,35.0,4
38,37.0,4
39,39.0,4
40,41.0,3
41,44.0,2
42,59.0,2
43,38.0,2
44,47.0,1
45,48.0,1
46,52.0,1
47,40.0,1
48,75.0,1
,IncBalanceOccurence,NumberOccurences
0,1.0,10228
1,0.0,8775
2,2.0,4655
3,3.0,2685
4,4.0,1595
5,5.0,1161
6,6.0,836
7,7.0,568
8,8.0,431
9,9.0,297
10,10.0,229
11,11.0,170
12,12.0,129
13,13.0,121
14,14.0,77
15,15.0,70
16,17.0,47
17,16.0,45
18,19.0,45
19,20.0,36
20,18.0,35
21,21.0,33
22,23.0,20
23,22.0,15
24,26.0,12
25,24.0,10
26,25.0,9
27,29.0,7
28,33.0,4
29,27.0,4
30,36.0,3
31,35.0,3
32,31.0,3
33,28.0,3
34,30.0,2
35,37.0,2
36,42.0,2
37,32.0,1
38,34.0,1
39,38.0,1
40,40.0,1
41,41.0,1
42,57.0,1
43,62.0,1
44,71.0,1
45,73.0,1
46,76.0,1
,IncBalanceOccurence,NumberOccurences
0,1.0,14206
1,0.0,7903
2,2.0,5464
3,3.0,2642
4,4.0,1540
5,5.0,1018
6,6.0,726
7,7.0,547
8,8.0,404
9,9.0,310
10,10.0,231
11,11.0,152
12,12.0,118
13,13.0,87
14,14.0,77
15,15.0,59
16,16.0,46
17,18.0,39
18,17.0,31
19,19.0,25
20,20.0,20
21,22.0,17
22,21.0,15
23,26.0,9
24,25.0,6
25,24.0,5
26,23.0,3
27,28.0,2
28,29.0,2
29,32.0,2
30,27.0,1
31,30.0,1
32,38.0,1
,IncBalanceOccurence,NumberOccurences
0,1.0,10084
1,0.0,3554
2,2.0,3447
3,3.0,1675
4,4.0,1001
5,5.0,670
6,6.0,516
7,7.0,381
8,8.0,251
9,9.0,188
10,10.0,140
11,11.0,98
12,12.0,78
13,13.0,56
14,14.0,38
15,16.0,25
16,15.0,20
17,17.0,16
18,19.0,15
19,18.0,10
20,20.0,9
21,21.0,7
22,25.0,3
23,24.0,2
24,29.0,2
25,22.0,1
26,23.0,1
27,32.0,1
28,34.0,1
29,45.0,1
30,47.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,13358
1,1.0,8359
2,2.0,3272
3,3.0,1873
4,4.0,1149
5,5.0,804
6,6.0,554
7,7.0,398
8,8.0,266
9,9.0,196
10,10.0,130
11,11.0,95
12,12.0,77
13,13.0,51
14,14.0,37
15,15.0,25
16,16.0,21
17,20.0,13
18,18.0,12
19,19.0,9
20,17.0,6
21,21.0,5
22,23.0,5
23,24.0,5
24,25.0,4
25,27.0,2
26,22.0,2
27,26.0,1
28,30.0,1
29,32.0,1
30,37.0,1
31,69.0,1
32,77.0,1
33,94.0,1
34,105.0,1
35,117.0,1
,IncBalanceOccurence,NumberOccurences
0,0.0,23279
1,1.0,6080
2,2.0,2947
3,3.0,1828
4,4.0,1221
5,5.0,863
6,6.0,618
7,7.0,428
8,8.0,316
9,9.0,226
10,10.0,168
11,11.0,114
12,12.0,104
13,13.0,63
14,14.0,39
15,15.0,37
16,17.0,20
17,19.0,16
18,16.0,15
19,18.0,12
20,20.0,10
21,22.0,8
22,21.0,8
23,24.0,7
24,28.0,4
25,23.0,3
26,26.0,2
27,29.0,2
28,30.0,2
29,46.0,1
30,88.0,1
31,82.0,1
32,69.0,1
33,62.0,1
34,53.0,1
35,36.0,1
36,42.0,1
37,38.0,1
38,32.0,1
39,31.0,1
40,25.0,1
41,101.0,1
