,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,DESCRIPTION
195,490.0,414.0,391.0,413.0,967.0,2627.0,3165.0,3443.0,1646.0,1072.0,855.0,"Purchase of Guaranty Loan (Regular, SBA Form 1128)"
218,407.0,416.0,367.0,346.0,411.0,679.0,1399.0,1498.0,906.0,609.0,510.0,Payment for Recoverable or Care and Preservation of Collateral Expenses
219,8.0,7.0,3.0,0.0,1.0,4.0,8.0,6.0,20.0,10.0,3.0,Payment for Care and Preservation of Collateral
221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Payment of Expenses Relating to Assets Acquired
226,5.0,4.0,3.0,1.0,4.0,5.0,6.0,10.0,0.0,0.0,2.0,Check Cancellation - Recoverable or Care and Preservation of Collateral Expenses
301,177.0,161.0,120.0,152.0,136.0,199.0,580.0,578.0,485.0,279.0,242.0,Repayment by Borrower - Regular
302,40.0,35.0,27.0,44.0,24.0,79.0,243.0,203.0,105.0,74.0,73.0,Repayment by Borrower - Principal First
305,523.0,618.0,645.0,492.0,730.0,1393.0,2341.0,2322.0,1565.0,1231.0,923.0,Collections from the Liquidation Process
306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Record Sale of Non-Charge Off Loans
331,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Remittance Held Pending Collection Office Application
390,9.0,6.0,6.0,4.0,7.0,11.0,31.0,29.0,22.0,12.0,5.0,Borrower's Check Returned
410,16.0,21.0,25.0,37.0,31.0,77.0,129.0,124.0,100.0,86.0,60.0,Reestablish Asset Previously Charged Off
411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Judgment Obtained on Loan, Note, or Other Asset"
412,11.0,19.0,18.0,2.0,10.0,9.0,5.0,5.0,6.0,8.0,3.0,Receivables Related to Foreclosure or Other	Agreements
432,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adjust Book Value of Loan - Asset Sale
455,15321.0,13918.0,16540.0,15155.0,24163.0,66742.0,57235.0,57016.0,36854.0,36209.0,36714.0,Update of Guarantee Principal and Approval Balance
394,1.0,0.0,1.0,1.0,2.0,6.0,10.0,9.0,3.0,9.0,5.0,Borrower's Check Returned - Principal First
416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Asset Charged Off
433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adjust SBA Book Value to Match Bank Balance - Asset Sale
448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miscellaneous Adjustment Code (by Journal Voucher)
480,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buyback Asset Previously Sold via Asset Sales
304,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Repayment by Borrower - Inverse Order of Maturity
413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Assets Acquired on Loan in Liquidation
307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Collections to be Applied to SBA Share of Loan Only
375,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,Guaranty Secondary Participation - Overpayment
380,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,Loan Conversion Proceeds from Bank
445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,Undisburse GTY Principal in Prep for Loan Canc
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CARES – Debt Relief Payment
